4_finetune.py:113: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  logits_per_image = torch.tensor(p_q_kl,requires_grad=True).to(device)
epoch: 0
  0%|          | 0/2586 [00:00<?, ?it/s]
total loss: tensor(23431.5391, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9618.1562, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1764.3715, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2666.0303, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2790.7734, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(28198.7402, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2733.1587, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9357.4365, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2723.0918, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5873.7617, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8765.6494, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7825.0205, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(89362.6875, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3757.9189, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5960.0757, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4481.0010, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5587.5630, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2659.8965, device='cuda:3', grad_fn=<DivBackward0>)
Traceback (most recent call last):
  File "4_finetune.py", line 110, in <module>
    p_q_kl = loss_multivariate_normal_kl2(image_u,image_std,text_u,text_std)
  File "4_finetune.py", line 88, in loss_multivariate_normal_kl2
    fourth = torch.matmul(torch.matmul((c_mu_2 - c_mu_1).T, c_Sigma_2.inverse()), c_mu_2 - c_mu_1)
KeyboardInterrupt
epoch: 0
  0%|          | 0/2586 [00:00<?, ?it/s]
total loss: tensor(3273.6599, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10677.5166, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1994.2018, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2667.7070, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4157.8950, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3668.1555, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4152.9751, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6517.4736, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(21017.2676, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1641.1243, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9796.5869, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(90354.1719, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2717.0300, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4902.8228, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3425.2317, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10500.1211, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6158.2866, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(35114.4531, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6407.3682, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8227.2100, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2586.2703, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12819.0312, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5207.2559, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10699.3857, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4084.5085, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4453.3975, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(17098.9531, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3021.3677, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2103.0376, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2205.9124, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3483.9443, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8720.2871, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2198.1802, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(16302.8213, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3229.7856, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3255.3442, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4613.6045, device='cuda:3', grad_fn=<DivBackward0>)
